Fiscal Date,Location Number and Desc,Net Sales Retail Amt,Net Sales Retail Amt LY,Net Sales Retail Amt Var LY %,Net Sales Qty,Net Sales Qty LY,Net Sales Qty Var LY %,Clr Net Sales Retail Amt,Clr Net Sales Retail Amt LY,Clr Net Sales Retail Amt Var LY %,Clearance Sales %,Clr Net Sales Qty,Clr Net Sales Qty LY,Clr Net Sales Qty Var LY %,Selling Margin Amt,Selling Margin Amt LY,Selling Margin % LY,Selling Margin %,Net Sales AUR,Net Sales AUR LY,Net Sales AUR Var LY %
03-30-2025,"2795 STONEBRIAR MALL - FRISCO, TX",18698.0,19776.0,-5.5,747,897,-16.7,3745.0,4466.0,-16.1,20.0%,111,89,24.7,8604.0,10032.0,50.7,46.0,25.03,22.05,13.5
03-30-2025,"766 BRANDON TOWN CTR - BRANDON, FL",24426.0,23138.0,5.6,821,812,1.1,4131.0,4226.0,-2.3,16.9%,99,113,-12.4,11797.0,10950.0,47.3,48.3,29.75,28.5,4.4
03-30-2025,"786 MARLEY STATION MALL - GLEN BURNIE, MD",12056.0,11541.0,4.5,501,486,3.1,2862.0,2685.0,6.6,23.7%,128,140,-8.6,5099.0,5266.0,45.6,42.3,24.06,23.75,1.3
03-31-2025,"232 TACOMA MALL - TACOMA, WA",12317.0,13841.0,-11.0,481,499,-3.6,2723.0,2757.0,-1.2,22.1%,106,102,3.9,5684.0,6398.0,46.2,46.1,25.61,27.74,-7.7
03-31-2025,"2712 CAPITAL CITY MALL - CAMP HILL, PA",7116.0,6475.0,9.9,297,299,-0.7,1256.0,1448.0,-13.3,17.6%,86,87,-1.1,3278.0,3167.0,48.9,46.1,23.96,21.65,10.7
03-31-2025,"2795 STONEBRIAR MALL - FRISCO, TX",14182.0,13395.0,5.9,601,580,3.6,2096.0,1983.0,5.7,14.8%,39,35,11.4,6631.0,6338.0,47.3,46.8,23.6,23.1,2.2
03-31-2025,"766 BRANDON TOWN CTR - BRANDON, FL",26706.0,25821.0,3.4,902,890,1.3,4342.0,4403.0,-1.4,16.3%,180,171,5.3,12651.0,12040.0,46.6,47.4,29.61,29.01,2.1
03-31-2025,"786 MARLEY STATION MALL - GLEN BURNIE, MD",8868.0,8416.0,5.4,383,413,-7.3,1926.0,1941.0,-0.8,21.7%,69,62,11.3,3769.0,3813.0,45.3,42.5,23.15,20.38,13.6
04-01-2025,"232 TACOMA MALL - TACOMA, WA",9615.0,10037.0,-4.2,445,501,-11.2,2025.0,2029.0,-0.2,21.1%,79,68,16.2,4527.0,4925.0,49.1,47.1,21.61,20.03,7.9
04-01-2025,"2712 CAPITAL CITY MALL - CAMP HILL, PA",9481.0,10100.0,-6.1,369,398,-7.3,1896.0,2243.0,-15.5,20.0%,37,32,15.6,4619.0,5010.0,49.6,48.7,25.69,25.38,1.3
04-01-2025,"2795 STONEBRIAR MALL - FRISCO, TX",19516.0,21694.0,-10.0,783,880,-11.0,2768.0,2844.0,-2.7,14.2%,85,71,19.7,8827.0,9994.0,46.1,45.2,24.92,24.65,1.1
04-01-2025,"766 BRANDON TOWN CTR - BRANDON, FL",21881.0,17985.0,21.7,740,618,19.7,3837.0,4382.0,-12.4,17.5%,155,148,4.7,10008.0,8104.0,45.1,45.7,29.57,29.1,1.6
04-01-2025,"786 MARLEY STATION MALL - GLEN BURNIE, MD",14164.0,14470.0,-2.1,583,655,-11.0,3126.0,3259.0,-4.1,22.1%,115,125,-8.0,6165.0,6669.0,46.1,43.5,24.29,22.09,10.0
04-02-2025,"232 TACOMA MALL - TACOMA, WA",9616.0,9507.0,1.1,390,421,-7.4,1646.0,1665.0,-1.1,17.1%,24,25,-4.0,4234.0,4958.0,52.2,44.0,24.66,22.58,9.2
04-02-2025,"2712 CAPITAL CITY MALL - CAMP HILL, PA",7192.0,6424.0,12.0,312,333,-6.3,1504.0,1402.0,7.3,20.9%,53,66,-19.7,3450.0,3068.0,47.8,48.0,23.05,19.29,19.5
04-02-2025,"2795 STONEBRIAR MALL - FRISCO, TX",26136.0,28247.0,-7.5,1066,1072,-0.6,4680.0,4622.0,1.3,17.9%,156,145,7.6,12140.0,14395.0,51.0,46.4,24.52,26.35,-7.0
04-02-2025,"766 BRANDON TOWN CTR - BRANDON, FL",25824.0,24044.0,7.4,841,813,3.4,3464.0,4013.0,-13.7,13.4%,116,119,-2.5,11625.0,12046.0,50.1,45.0,30.71,29.57,3.8
04-02-2025,"786 MARLEY STATION MALL - GLEN BURNIE, MD",12418.0,12062.0,2.9,501,463,8.2,2710.0,3342.0,-18.9,21.8%,152,167,-9.0,5321.0,5134.0,42.6,42.8,24.79,26.05,-4.9
04-03-2025,"232 TACOMA MALL - TACOMA, WA",14886.0,15147.0,-1.7,606,544,11.4,3557.0,3935.0,-9.6,23.9%,100,97,3.1,7008.0,7404.0,48.9,47.1,24.56,27.84,-11.8
04-03-2025,"2712 CAPITAL CITY MALL - CAMP HILL, PA",13043.0,12304.0,6.0,577,535,7.9,2444.0,2702.0,-9.6,18.7%,105,110,-4.5,6535.0,5379.0,43.7,50.1,22.6,23.0,-1.7
04-03-2025,"2795 STONEBRIAR MALL - FRISCO, TX",18790.0,20003.0,-6.1,701,784,-10.6,3609.0,3119.0,15.7,19.2%,107,96,11.5,8594.0,9399.0,47.0,45.7,26.8,25.51,5.1
04-03-2025,"766 BRANDON TOWN CTR - BRANDON, FL",24392.0,23796.0,2.5,839,807,4.0,2515.0,2491.0,1.0,10.3%,94,85,10.6,12233.0,11377.0,47.8,50.2,29.07,29.49,-1.4
04-03-2025,"786 MARLEY STATION MALL - GLEN BURNIE, MD",12381.0,12272.0,0.9,552,577,-4.3,2393.0,2518.0,-5.0,19.3%,91,101,-9.9,5506.0,5743.0,46.8,44.5,22.43,21.27,5.5
04-04-2025,"232 TACOMA MALL - TACOMA, WA",12988.0,12759.0,1.8,583,589,-1.0,1986.0,1892.0,5.0,15.3%,83,76,9.2,6178.0,6110.0,47.9,47.6,22.28,21.66,2.8
04-04-2025,"2712 CAPITAL CITY MALL - CAMP HILL, PA",11451.0,11119.0,3.0,490,484,1.2,3139.0,3276.0,-4.2,27.4%,131,164,-20.1,5345.0,5044.0,45.4,46.7,23.37,22.97,1.7
04-04-2025,"2795 STONEBRIAR MALL - FRISCO, TX",25876.0,26348.0,-1.8,1039,1105,-6.0,3438.0,2845.0,20.9,13.3%,163,138,18.1,12733.0,12915.0,49.0,49.2,24.91,23.84,4.4
04-04-2025,"766 BRANDON TOWN CTR - BRANDON, FL",20555.0,20299.0,1.3,783,685,14.3,3019.0,2746.0,10.0,14.7%,93,95,-2.1,9576.0,10066.0,49.6,46.6,26.25,29.63,-11.4
04-04-2025,"786 MARLEY STATION MALL - GLEN BURNIE, MD",11932.0,11369.0,4.9,550,607,-9.4,2960.0,2766.0,7.0,24.8%,112,139,-19.4,5628.0,5088.0,44.7,47.2,21.69,18.73,15.8
04-05-2025,"232 TACOMA MALL - TACOMA, WA",10630.0,11098.0,-4.2,465,510,-8.8,2163.0,2191.0,-1.3,20.3%,109,92,18.5,5084.0,5149.0,46.4,47.8,22.86,21.76,5.1
04-05-2025,"2712 CAPITAL CITY MALL - CAMP HILL, PA",12015.0,12101.0,-0.7,485,449,8.0,2985.0,2940.0,1.6,24.8%,130,117,11.1,5778.0,5455.0,45.1,48.1,24.77,26.95,-8.1
04-05-2025,"2795 STONEBRIAR MALL - FRISCO, TX",27287.0,29836.0,-8.5,1097,1164,-5.8,5475.0,5701.0,-4.0,20.1%,233,213,9.4,12683.0,13972.0,46.8,46.5,24.87,25.63,-3.0
04-05-2025,"766 BRANDON TOWN CTR - BRANDON, FL",29717.0,26710.0,11.3,1101,1141,-3.5,4207.0,4655.0,-9.6,14.2%,121,129,-6.2,13828.0,13676.0,51.2,46.5,26.99,23.41,15.3
04-05-2025,"786 MARLEY STATION MALL - GLEN BURNIE, MD",13316.0,13701.0,-2.8,499,534,-6.6,2839.0,2806.0,1.2,21.3%,106,129,-17.8,5736.0,6087.0,44.4,43.1,26.69,25.66,4.0
04-06-2025,"232 TACOMA MALL - TACOMA, WA",13301.0,13317.0,-0.1,596,737,-19.1,2561.0,2494.0,2.7,19.3%,106,87,21.8,6233.0,6223.0,46.7,46.9,22.32,18.07,23.5
04-06-2025,"2712 CAPITAL CITY MALL - CAMP HILL, PA",10995.0,10857.0,1.3,461,420,9.8,2382.0,2234.0,6.6,21.7%,107,95,12.6,5118.0,4947.0,45.6,46.5,23.85,25.85,-7.7
04-06-2025,"2795 STONEBRIAR MALL - FRISCO, TX",31583.0,30641.0,3.1,1233,1391,-11.4,6610.0,6728.0,-1.7,20.9%,247,266,-7.1,14990.0,14268.0,46.6,47.5,25.62,22.03,16.3
04-06-2025,"766 BRANDON TOWN CTR - BRANDON, FL",20686.0,18353.0,12.7,808,717,12.7,2454.0,2277.0,7.8,11.9%,109,104,4.8,10176.0,8265.0,45.0,49.2,25.6,25.6,0.0
04-06-2025,"786 MARLEY STATION MALL - GLEN BURNIE, MD",8272.0,8798.0,-6.0,385,353,9.1,1841.0,1803.0,2.1,22.3%,63,71,-11.3,3602.0,3793.0,43.1,43.5,21.49,24.92,-13.8
04-07-2025,"232 TACOMA MALL - TACOMA, WA",11182.0,11448.0,-2.3,443,477,-7.1,1910.0,1971.0,-3.1,17.1%,91,102,-10.8,5496.0,5401.0,47.2,49.1,25.24,24.0,5.2
04-07-2025,"2712 CAPITAL CITY MALL - CAMP HILL, PA",9389.0,9328.0,0.7,408,360,13.3,2076.0,2327.0,-10.8,22.1%,69,87,-20.7,4678.0,4618.0,49.5,49.8,23.01,25.91,-11.2
04-07-2025,"2795 STONEBRIAR MALL - FRISCO, TX",27970.0,28874.0,-3.1,1131,1126,0.4,3640.0,3618.0,0.6,13.0%,56,60,-6.7,13204.0,12659.0,43.8,47.2,24.73,25.64,-3.6
04-07-2025,"766 BRANDON TOWN CTR - BRANDON, FL",24065.0,23545.0,2.2,785,805,-2.5,2593.0,2785.0,-6.9,10.8%,108,120,-10.0,11299.0,10716.0,45.5,47.0,30.66,29.25,4.8
04-07-2025,"786 MARLEY STATION MALL - GLEN BURNIE, MD",11580.0,11894.0,-2.6,540,513,5.3,2638.0,2282.0,15.6,22.8%,122,135,-9.6,5175.0,5287.0,44.5,44.7,21.44,23.19,-7.5
04-08-2025,"232 TACOMA MALL - TACOMA, WA",14053.0,14888.0,-5.6,597,594,0.5,1937.0,2256.0,-14.1,13.8%,101,90,12.2,6729.0,7118.0,47.8,47.9,23.54,25.06,-6.1
04-08-2025,"2712 CAPITAL CITY MALL - CAMP HILL, PA",8896.0,8808.0,1.0,412,323,27.6,1867.0,1860.0,0.4,21.0%,109,105,3.8,4174.0,4074.0,46.3,46.9,21.59,27.27,-20.8
04-08-2025,"2795 STONEBRIAR MALL - FRISCO, TX",25936.0,26030.0,-0.4,1075,1221,-12.0,4530.0,3575.0,26.7,17.5%,162,147,10.2,11002.0,11929.0,45.8,42.4,24.13,21.32,13.2
04-08-2025,"766 BRANDON TOWN CTR - BRANDON, FL",33030.0,33045.0,-0.0,1123,968,16.0,4072.0,4509.0,-9.7,12.3%,190,181,5.0,15288.0,15061.0,45.6,46.3,29.41,34.14,-13.8
04-08-2025,"786 MARLEY STATION MALL - GLEN BURNIE, MD",9924.0,10335.0,-4.0,432,450,-4.0,2036.0,2024.0,0.6,20.5%,94,89,5.6,4246.0,4583.0,44.3,42.8,22.97,22.97,0.0
04-09-2025,"232 TACOMA MALL - TACOMA, WA",14422.0,15410.0,-6.4,544,586,-7.2,3002.0,3214.0,-6.6,20.8%,129,113,14.2,7801.0,7247.0,47.0,54.1,26.51,26.3,0.8
04-09-2025,"2712 CAPITAL CITY MALL - CAMP HILL, PA",8830.0,8943.0,-1.3,368,353,4.2,1720.0,1605.0,7.2,19.5%,70,80,-12.5,4435.0,4449.0,49.8,50.2,23.99,25.33,-5.3
04-09-2025,"2795 STONEBRIAR MALL - FRISCO, TX",15430.0,16648.0,-7.3,639,708,-9.7,2854.0,2872.0,-0.6,18.5%,132,121,9.1,7402.0,7617.0,45.8,48.0,24.15,23.51,2.7
04-09-2025,"766 BRANDON TOWN CTR - BRANDON, FL",24052.0,22584.0,6.5,857,802,6.9,2007.0,2105.0,-4.7,8.3%,54,47,14.9,11612.0,10120.0,44.8,48.3,28.06,28.16,-0.3
04-09-2025,"786 MARLEY STATION MALL - GLEN BURNIE, MD",9948.0,9932.0,0.2,421,433,-2.8,2692.0,2740.0,-1.7,27.1%,121,129,-6.2,4015.0,4113.0,41.4,40.4,23.63,22.94,3.0
04-10-2025,"232 TACOMA MALL - TACOMA, WA",12099.0,10899.0,11.0,500,498,0.4,2477.0,2348.0,5.5,20.5%,81,71,14.1,5718.0,5251.0,48.2,47.3,24.2,21.89,10.6
04-10-2025,"2712 CAPITAL CITY MALL - CAMP HILL, PA",7994.0,7264.0,10.1,400,389,2.8,1650.0,1604.0,2.9,20.6%,64,66,-3.0,3910.0,3490.0,48.0,48.9,19.99,18.67,7.0
04-10-2025,"2795 STONEBRIAR MALL - FRISCO, TX",19177.0,19781.0,-3.1,858,953,-10.0,2602.0,2529.0,2.9,13.6%,91,80,13.8,8942.0,9132.0,46.2,46.6,22.35,20.76,7.7
04-10-2025,"766 BRANDON TOWN CTR - BRANDON, FL",25488.0,24792.0,2.8,889,845,5.2,5005.0,4754.0,5.3,19.6%,142,116,22.4,11951.0,11419.0,46.1,46.9,28.67,29.34,-2.3
04-10-2025,"786 MARLEY STATION MALL - GLEN BURNIE, MD",7358.0,7656.0,-3.9,363,343,5.8,1443.0,1406.0,2.7,19.6%,52,40,30.0,3326.0,3305.0,43.2,45.2,20.27,22.32,-9.2
04-11-2025,"232 TACOMA MALL - TACOMA, WA",13128.0,12822.0,2.4,530,580,-8.6,2082.0,2430.0,-14.3,15.9%,102,108,-5.6,5958.0,6158.0,48.0,45.4,24.77,22.11,12.0
04-11-2025,"2712 CAPITAL CITY MALL - CAMP HILL, PA",4956.0,4828.0,2.7,244,239,2.1,1011.0,1106.0,-8.6,20.4%,44,45,-2.2,2268.0,2422.0,50.2,45.7,20.31,20.2,0.6
04-11-2025,"2795 STONEBRIAR MALL - FRISCO, TX",22022.0,23867.0,-7.7,901,984,-8.4,4667.0,4912.0,-5.0,21.2%,146,179,-18.4,11343.0,11343.0,47.5,51.5,24.44,24.26,0.8
04-11-2025,"766 BRANDON TOWN CTR - BRANDON, FL",18504.0,18087.0,2.3,607,552,10.0,2401.0,2425.0,-1.0,13.0%,77,74,4.1,8354.0,9316.0,51.5,45.1,30.48,32.77,-7.0
04-11-2025,"786 MARLEY STATION MALL - GLEN BURNIE, MD",13826.0,13736.0,0.7,610,598,2.0,3068.0,3368.0,-8.9,22.2%,119,111,7.2,6359.0,5971.0,43.5,46.0,22.66,22.97,-1.3
04-12-2025,"232 TACOMA MALL - TACOMA, WA",10013.0,9989.0,0.2,407,431,-5.6,2385.0,2160.0,10.4,23.8%,104,101,3.0,5061.0,4933.0,49.4,50.5,24.6,23.18,6.2
04-12-2025,"2712 CAPITAL CITY MALL - CAMP HILL, PA",10028.0,10741.0,-6.6,474,504,-6.0,1610.0,1305.0,23.4,16.1%,46,54,-14.8,4952.0,5441.0,50.7,49.4,21.16,21.31,-0.7
04-12-2025,"2795 STONEBRIAR MALL - FRISCO, TX",18053.0,19792.0,-8.8,747,676,10.5,3843.0,3757.0,2.3,21.3%,168,191,-12.0,7808.0,9131.0,46.1,43.3,24.17,29.28,-17.5
04-12-2025,"766 BRANDON TOWN CTR - BRANDON, FL",26483.0,26585.0,-0.4,894,895,-0.1,4482.0,4601.0,-2.6,16.9%,191,193,-1.0,12992.0,12441.0,46.8,49.1,29.62,29.7,-0.3
04-12-2025,"786 MARLEY STATION MALL - GLEN BURNIE, MD",8611.0,8680.0,-0.8,404,437,-7.6,1822.0,2018.0,-9.7,21.2%,85,83,2.4,4027.0,3894.0,44.9,46.8,21.31,19.86,7.3
04-13-2025,"232 TACOMA MALL - TACOMA, WA",13858.0,15625.0,-11.3,544,559,-2.7,2759.0,2882.0,-4.3,19.9%,77,82,-6.1,6698.0,7200.0,46.1,48.3,25.47,27.95,-8.9
04-13-2025,"2712 CAPITAL CITY MALL - CAMP HILL, PA",10761.0,10289.0,4.6,508,509,-0.2,1950.0,1939.0,0.6,18.1%,109,109,0.0,5262.0,5086.0,49.4,48.9,21.18,20.21,4.8
04-13-2025,"2795 STONEBRIAR MALL - FRISCO, TX",22182.0,25448.0,-12.8,899,982,-8.5,3785.0,3284.0,15.3,17.1%,89,73,21.9,9860.0,11829.0,46.5,44.5,24.67,25.91,-4.8
04-13-2025,"766 BRANDON TOWN CTR - BRANDON, FL",35021.0,31126.0,12.5,1259,1278,-1.5,6276.0,6066.0,3.5,17.9%,232,256,-9.4,16863.0,14138.0,45.4,48.2,27.82,24.36,14.2
04-13-2025,"786 MARLEY STATION MALL - GLEN BURNIE, MD",12302.0,12023.0,2.3,533,599,-11.0,2650.0,2927.0,-9.5,21.5%,118,107,10.3,5328.0,5374.0,44.7,43.3,23.08,20.07,15.0
04-14-2025,"232 TACOMA MALL - TACOMA, WA",9391.0,9658.0,-2.8,428,439,-2.5,1982.0,2063.0,-3.9,21.1%,57,61,-6.6,4671.0,4463.0,46.2,49.7,21.94,22.0,-0.3
04-14-2025,"2712 CAPITAL CITY MALL - CAMP HILL, PA",10632.0,11188.0,-5.0,457,466,-1.9,1726.0,1520.0,13.5,16.2%,67,71,-5.6,5437.0,5632.0,50.3,51.1,23.27,24.01,-3.1
04-14-2025,"2795 STONEBRIAR MALL - FRISCO, TX",26208.0,25235.0,3.9,1017,1108,-8.2,5003.0,5096.0,-1.8,19.1%,181,193,-6.2,11761.0,10928.0,43.3,44.9,25.77,22.78,13.1
04-14-2025,"766 BRANDON TOWN CTR - BRANDON, FL",30131.0,31613.0,-4.7,954,843,13.2,4289.0,4376.0,-2.0,14.2%,127,115,10.4,14522.0,14707.0,46.5,48.2,31.58,37.5,-15.8
04-14-2025,"786 MARLEY STATION MALL - GLEN BURNIE, MD",10869.0,12347.0,-12.0,445,436,2.1,2979.0,2808.0,6.1,27.4%,124,98,26.5,4620.0,5744.0,46.5,42.5,24.43,28.32,-13.8
04-15-2025,"232 TACOMA MALL - TACOMA, WA",15700.0,17013.0,-7.7,581,535,8.6,2171.0,2490.0,-12.8,13.8%,110,120,-8.3,7655.0,8244.0,48.5,48.8,27.02,31.8,-15.0
04-15-2025,"2712 CAPITAL CITY MALL - CAMP HILL, PA",9968.0,10095.0,-1.3,452,475,-4.8,1820.0,1693.0,7.5,18.3%,70,73,-4.1,4433.0,4825.0,47.8,44.5,22.05,21.25,3.8
04-15-2025,"2795 STONEBRIAR MALL - FRISCO, TX",22581.0,26452.0,-14.6,953,1017,-6.3,3466.0,3145.0,10.2,15.3%,179,205,-12.7,10464.0,12716.0,48.1,46.3,23.7,26.01,-8.9
04-15-2025,"766 BRANDON TOWN CTR - BRANDON, FL",29110.0,25935.0,12.2,966,903,7.0,3505.0,3974.0,-11.8,12.0%,106,109,-2.8,13814.0,11612.0,44.8,47.5,30.13,28.72,4.9
04-15-2025,"786 MARLEY STATION MALL - GLEN BURNIE, MD",8028.0,7510.0,6.9,323,359,-10.0,1744.0,1676.0,4.1,21.7%,58,68,-14.7,3475.0,3295.0,43.9,43.3,24.86,20.92,18.8
04-16-2025,"232 TACOMA MALL - TACOMA, WA",14913.0,15805.0,-5.6,622,637,-2.4,3066.0,3653.0,-16.1,20.6%,139,124,12.1,7336.0,7538.0,47.7,49.2,23.98,24.81,-3.4
04-16-2025,"2712 CAPITAL CITY MALL - CAMP HILL, PA",9609.0,8591.0,11.8,406,394,3.0,1798.0,1600.0,12.4,18.7%,77,61,26.2,4592.0,4159.0,48.4,47.8,23.67,21.8,8.5
04-16-2025,"2795 STONEBRIAR MALL - FRISCO, TX",24860.0,29057.0,-14.4,979,965,1.5,4898.0,5197.0,-5.8,19.7%,108,99,9.1,10766.0,13474.0,46.4,43.3,25.39,30.11,-15.7
04-16-2025,"766 BRANDON TOWN CTR - BRANDON, FL",22013.0,21246.0,3.6,757,660,14.7,3172.0,3308.0,-4.1,14.4%,90,118,-23.7,10007.0,10653.0,50.1,45.5,29.08,32.19,-9.7
04-16-2025,"786 MARLEY STATION MALL - GLEN BURNIE, MD",11427.0,11087.0,3.1,508,488,4.1,1849.0,1819.0,1.7,16.2%,51,45,13.3,5365.0,4646.0,41.9,46.9,22.49,22.72,-1.0
04-17-2025,"232 TACOMA MALL - TACOMA, WA",10956.0,11280.0,-2.9,490,504,-2.8,1728.0,1832.0,-5.6,15.8%,58,57,1.8,5420.0,5394.0,47.8,49.5,22.36,22.38,-0.1
04-17-2025,"2712 CAPITAL CITY MALL - CAMP HILL, PA",10552.0,9803.0,7.6,439,449,-2.2,2064.0,2156.0,-4.3,19.6%,83,88,-5.7,4904.0,4741.0,48.4,46.5,24.04,21.83,10.1
04-17-2025,"2795 STONEBRIAR MALL - FRISCO, TX",23260.0,26460.0,-12.1,907,980,-7.4,4839.0,5145.0,-5.9,20.8%,212,219,-3.2,10634.0,12317.0,46.5,45.7,25.64,27.0,-5.0
04-17-2025,"766 BRANDON TOWN CTR - BRANDON, FL",21723.0,20227.0,7.4,741,682,8.7,4896.0,5652.0,-13.4,22.5%,148,136,8.8,10186.0,9154.0,45.3,46.9,29.32,29.66,-1.2
04-17-2025,"786 MARLEY STATION MALL - GLEN BURNIE, MD",6930.0,6871.0,0.8,321,286,12.2,1169.0,1275.0,-8.3,16.9%,60,55,9.1,3459.0,3212.0,46.7,49.9,21.59,24.03,-10.1
04-18-2025,"232 TACOMA MALL - TACOMA, WA",10659.0,10827.0,-1.6,469,482,-2.7,1862.0,1625.0,14.6,17.5%,92,96,-4.2,5095.0,4864.0,44.9,47.8,22.73,22.46,1.2
04-18-2025,"2712 CAPITAL CITY MALL - CAMP HILL, PA",8989.0,9237.0,-2.7,372,385,-3.4,1879.0,1963.0,-4.3,20.9%,83,92,-9.8,4295.0,4561.0,49.4,47.8,24.16,23.99,0.7
04-18-2025,"2795 STONEBRIAR MALL - FRISCO, TX",18752.0,19015.0,-1.4,828,825,0.4,3612.0,3778.0,-4.4,19.3%,170,169,0.6,9049.0,8032.0,42.2,48.3,22.65,23.05,-1.7
04-18-2025,"766 BRANDON TOWN CTR - BRANDON, FL",22825.0,20417.0,11.8,912,849,7.4,2548.0,2559.0,-0.4,11.2%,146,177,-17.5,11763.0,9547.0,46.8,51.5,25.03,24.05,4.1
04-18-2025,"786 MARLEY STATION MALL - GLEN BURNIE, MD",10153.0,10168.0,-0.1,411,367,12.0,2120.0,1896.0,11.8,20.9%,93,102,-8.8,4159.0,4477.0,44.0,41.0,24.7,27.71,-10.8
04-19-2025,"232 TACOMA MALL - TACOMA, WA",12094.0,10944.0,10.5,536,526,1.9,2097.0,2130.0,-1.6,17.3%,95,94,1.1,6075.0,5347.0,48.9,50.2,22.56,20.81,8.4
04-19-2025,"2712 CAPITAL CITY MALL - CAMP HILL, PA",11076.0,10359.0,6.9,488,472,3.4,2040.0,2077.0,-1.8,18.4%,81,96,-15.6,5588.0,4910.0,47.4,50.5,22.7,21.95,3.4
04-19-2025,"2795 STONEBRIAR MALL - FRISCO, TX",32066.0,33676.0,-4.8,1213,1368,-11.3,5711.0,5842.0,-2.3,17.8%,195,201,-3.0,14610.0,14822.0,44.0,45.6,26.44,24.62,7.4
04-19-2025,"766 BRANDON TOWN CTR - BRANDON, FL",25775.0,24894.0,3.5,812,805,0.9,3471.0,3423.0,1.4,13.5%,79,76,3.9,13020.0,11771.0,47.3,50.5,31.74,30.92,2.6
04-19-2025,"786 MARLEY STATION MALL - GLEN BURNIE, MD",8728.0,7787.0,12.1,388,389,-0.3,1998.0,2545.0,-21.5,22.9%,113,125,-9.6,3830.0,3201.0,41.1,43.9,22.5,20.02,12.4
04-20-2025,"232 TACOMA MALL - TACOMA, WA",14199.0,13406.0,5.9,629,603,4.3,1979.0,1981.0,-0.1,13.9%,75,71,5.6,6928.0,6611.0,49.3,48.8,22.57,22.23,1.5
04-20-2025,"2712 CAPITAL CITY MALL - CAMP HILL, PA",8750.0,8031.0,9.0,363,363,0.0,1439.0,1679.0,-14.3,16.4%,81,84,-3.6,3931.0,3938.0,49.0,44.9,24.1,22.12,9.0
04-20-2025,"2795 STONEBRIAR MALL - FRISCO, TX",23995.0,26040.0,-7.9,1038,1017,2.1,3966.0,4093.0,-3.1,16.5%,113,95,18.9,10507.0,12244.0,47.0,43.8,23.12,25.6,-9.7
04-20-2025,"766 BRANDON TOWN CTR - BRANDON, FL",27334.0,26106.0,4.7,896,795,12.7,4092.0,3923.0,4.3,15.0%,172,167,3.0,12571.0,12020.0,46.0,46.0,30.51,32.84,-7.1
04-20-2025,"786 MARLEY STATION MALL - GLEN BURNIE, MD",8366.0,7775.0,7.6,404,369,9.5,1253.0,1478.0,-15.2,15.0%,40,37,8.1,3828.0,3479.0,44.7,45.8,20.71,21.07,-1.7
04-21-2025,"232 TACOMA MALL - TACOMA, WA",13555.0,15847.0,-14.5,552,511,8.0,1821.0,1630.0,11.7,13.4%,65,57,14.0,6157.0,7286.0,46.0,45.4,24.56,31.01,-20.8
04-21-2025,"2712 CAPITAL CITY MALL - CAMP HILL, PA",13311.0,12765.0,4.3,503,478,5.2,2472.0,2311.0,7.0,18.6%,62,64,-3.1,5813.0,6252.0,49.0,43.7,26.46,26.71,-0.9
04-21-2025,"2795 STONEBRIAR MALL - FRISCO, TX",23003.0,25558.0,-10.0,952,1069,-10.9,3380.0,2900.0,16.6,14.7%,158,131,20.6,10709.0,11592.0,45.4,46.6,24.16,23.91,1.1
04-21-2025,"766 BRANDON TOWN CTR - BRANDON, FL",20355.0,19588.0,3.9,692,714,-3.1,3064.0,3208.0,-4.5,15.1%,129,130,-0.8,9829.0,9857.0,50.3,48.3,29.41,27.43,7.2
04-21-2025,"786 MARLEY STATION MALL - GLEN BURNIE, MD",10193.0,10270.0,-0.7,459,506,-9.3,1986.0,1595.0,24.5,19.5%,98,97,1.0,4742.0,4556.0,44.4,46.5,22.21,20.3,9.4
04-22-2025,"232 TACOMA MALL - TACOMA, WA",11604.0,10877.0,6.7,430,424,1.4,2066.0,2269.0,-9.0,17.8%,66,61,8.2,5601.0,5031.0,46.3,48.3,26.99,25.65,5.2
04-22-2025,"2712 CAPITAL CITY MALL - CAMP HILL, PA",12485.0,11634.0,7.3,500,452,10.6,2691.0,2410.0,11.7,21.6%,93,86,8.1,5914.0,5335.0,45.9,47.4,24.97,25.74,-3.0
04-22-2025,"2795 STONEBRIAR MALL - FRISCO, TX",16119.0,17401.0,-7.4,646,702,-8.0,3015.0,2938.0,2.6,18.7%,159,173,-8.1,7220.0,8329.0,47.9,44.8,24.95,24.79,0.7
04-22-2025,"766 BRANDON TOWN CTR - BRANDON, FL",25085.0,23147.0,8.4,905,794,14.0,3243.0,3385.0,-4.2,12.9%,62,71,-12.7,11563.0,10583.0,45.7,46.1,27.72,29.15,-4.9
04-22-2025,"786 MARLEY STATION MALL - GLEN BURNIE, MD",10017.0,9775.0,2.5,472,511,-7.6,2112.0,2060.0,2.5,21.1%,82,76,7.9,4517.0,4045.0,41.4,45.1,21.22,19.13,10.9
04-23-2025,"232 TACOMA MALL - TACOMA, WA",12867.0,13197.0,-2.5,517,527,-1.9,2422.0,2535.0,-4.5,18.8%,139,125,11.2,6559.0,6653.0,50.4,51.0,24.89,25.04,-0.6
04-23-2025,"2712 CAPITAL CITY MALL - CAMP HILL, PA",10118.0,9768.0,3.6,431,463,-6.9,2232.0,2448.0,-8.8,22.1%,120,115,4.3,4871.0,4640.0,47.5,48.1,23.48,21.1,11.3
